Sexo	Edad	Relación con la actividad económica	Periodo	Total
Ambos sexos	De 50 a 54 años	Inactivos	2013	653,6
Ambos sexos	De 50 a 54 años	Inactivos	2012	668,5
Ambos sexos	De 50 a 54 años	Inactivos	2011	689,5
Ambos sexos	De 50 a 54 años	Inactivos	2010	701,7
Ambos sexos	De 50 a 54 años	Inactivos	2009	736,1
Ambos sexos	De 50 a 54 años	Inactivos	2008	740,6
Ambos sexos	De 50 a 54 años	Inactivos	2007	741,2
Ambos sexos	De 50 a 54 años	Inactivos	2006	770,3
Ambos sexos	De 55 a 59 años	Total	2024	3.639,3
Ambos sexos	De 55 a 59 años	Total	2023	3.596,6
Ambos sexos	De 55 a 59 años	Total	2022	3.522,3
Ambos sexos	De 55 a 59 años	Total	2021	3.442,6
Ambos sexos	De 55 a 59 años	Total	2020	3.385,2
Ambos sexos	De 55 a 59 años	Total	2019	3.308,6
Ambos sexos	De 55 a 59 años	Total	2018	3.225,2
Ambos sexos	De 55 a 59 años	Total	2017	3.163
Ambos sexos	De 55 a 59 años	Total	2016	3.097,6
Ambos sexos	De 55 a 59 años	Total	2015	3.008,2
Ambos sexos	De 55 a 59 años	Total	2014	2.916,4
Ambos sexos	De 55 a 59 años	Total	2013	2.823,9
Ambos sexos	De 55 a 59 años	Total	2012	2.746,4
Ambos sexos	De 55 a 59 años	Total	2011	2.673,2
Ambos sexos	De 55 a 59 años	Total	2010	2.601,7
Ambos sexos	De 55 a 59 años	Total	2009	2.555,6
Ambos sexos	De 55 a 59 años	Total	2008	2.541
Ambos sexos	De 55 a 59 años	Total	2007	2.511,6
Ambos sexos	De 55 a 59 años	Total	2006	2.463,7
Ambos sexos	De 55 a 59 años	Activos	2024	2.842,6
Ambos sexos	De 55 a 59 años	Activos	2023	2.768,7
Ambos sexos	De 55 a 59 años	Activos	2022	2.659,2
Ambos sexos	De 55 a 59 años	Activos	2021	2.591,8
Ambos sexos	De 55 a 59 años	Activos	2020	2.507
Ambos sexos	De 55 a 59 años	Activos	2019	2.450,8
Ambos sexos	De 55 a 59 años	Activos	2018	2.366,1
Ambos sexos	De 55 a 59 años	Activos	2017	2.285,1
Ambos sexos	De 55 a 59 años	Activos	2016	2.228,8
Ambos sexos	De 55 a 59 años	Activos	2015	2.120,4
Ambos sexos	De 55 a 59 años	Activos	2014	2.004,5
Ambos sexos	De 55 a 59 años	Activos	2013	1.932,7
Ambos sexos	De 55 a 59 años	Activos	2012	1.856
Ambos sexos	De 55 a 59 años	Activos	2011	1.756,9
Ambos sexos	De 55 a 59 años	Activos	2010	1.662,1
Ambos sexos	De 55 a 59 años	Activos	2009	1.602,7
Ambos sexos	De 55 a 59 años	Activos	2008	1.548,8
Ambos sexos	De 55 a 59 años	Activos	2007	1.474,2
Ambos sexos	De 55 a 59 años	Activos	2006	1.418,3
Ambos sexos	De 55 a 59 años	Ocupados	2024	2.556
Ambos sexos	De 55 a 59 años	Ocupados	2023	2.455,3
Ambos sexos	De 55 a 59 años	Ocupados	2022	2.356,2
Ambos sexos	De 55 a 59 años	Ocupados	2021	2.242,9
Ambos sexos	De 55 a 59 años	Ocupados	2020	2.193,7
Ambos sexos	De 55 a 59 años	Ocupados	2019	2.140,8
Ambos sexos	De 55 a 59 años	Ocupados	2018	2.039,4
Ambos sexos	De 55 a 59 años	Ocupados	2017	1.926,7
Ambos sexos	De 55 a 59 años	Ocupados	2016	1.838,4
Ambos sexos	De 55 a 59 años	Ocupados	2015	1.705,3
Ambos sexos	De 55 a 59 años	Ocupados	2014	1.574,2
Ambos sexos	De 55 a 59 años	Ocupados	2013	1.533,6
Ambos sexos	De 55 a 59 años	Ocupados	2012	1.504,3
Ambos sexos	De 55 a 59 años	Ocupados	2011	1.475,5
Ambos sexos	De 55 a 59 años	Ocupados	2010	1.411,7
Ambos sexos	De 55 a 59 años	Ocupados	2009	1.399,2
Ambos sexos	De 55 a 59 años	Ocupados	2008	1.430,4
Ambos sexos	De 55 a 59 años	Ocupados	2007	1.383,1
Ambos sexos	De 55 a 59 años	Ocupados	2006	1.330,3
Ambos sexos	De 55 a 59 años	Parados	2024	286,6
Ambos sexos	De 55 a 59 años	Parados	2023	313,4
Ambos sexos	De 55 a 59 años	Parados	2022	303
Ambos sexos	De 55 a 59 años	Parados	2021	348,9
Ambos sexos	De 55 a 59 años	Parados	2020	313,3
Ambos sexos	De 55 a 59 años	Parados	2019	310
Ambos sexos	De 55 a 59 años	Parados	2018	326,7
Ambos sexos	De 55 a 59 años	Parados	2017	358,4
Ambos sexos	De 55 a 59 años	Parados	2016	390,4
Ambos sexos	De 55 a 59 años	Parados	2015	415,1
Ambos sexos	De 55 a 59 años	Parados	2014	430,3
Ambos sexos	De 55 a 59 años	Parados	2013	399,1
Ambos sexos	De 55 a 59 años	Parados	2012	351,7
Ambos sexos	De 55 a 59 años	Parados	2011	281,4
Ambos sexos	De 55 a 59 años	Parados	2010	250,4
Ambos sexos	De 55 a 59 años	Parados	2009	203,5
Ambos sexos	De 55 a 59 años	Parados	2008	118,4
Ambos sexos	De 55 a 59 años	Parados	2007	91,2
Ambos sexos	De 55 a 59 años	Parados	2006	87,9
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2024	3,8
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2023	5,5
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2022	2,5
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2021	7
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2020	4,2
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2019	4
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2018	4
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2017	4,7
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2016	5
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2015	6,1
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2014	6,7
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2013	5
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2012	5,9
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2011	5,3
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2010	5,1
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2009	5,4
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2008	3,9
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2007	2,1
Ambos sexos	De 55 a 59 años	Parados que buscan primer empleo	2006	3
Ambos sexos	De 55 a 59 años	Inactivos	2024	796,7
Ambos sexos	De 55 a 59 años	Inactivos	2023	828
Ambos sexos	De 55 a 59 años	Inactivos	2022	863,1
Ambos sexos	De 55 a 59 años	Inactivos	2021	850,8
Ambos sexos	De 55 a 59 años	Inactivos	2020	878,1
Ambos sexos	De 55 a 59 años	Inactivos	2019	857,8
Ambos sexos	De 55 a 59 años	Inactivos	2018	859,1
Ambos sexos	De 55 a 59 años	Inactivos	2017	877,9
Ambos sexos	De 55 a 59 años	Inactivos	2016	868,9
Ambos sexos	De 55 a 59 años	Inactivos	2015	887,9
Ambos sexos	De 55 a 59 años	Inactivos	2014	911,8
Ambos sexos	De 55 a 59 años	Inactivos	2013	891,2
Ambos sexos	De 55 a 59 años	Inactivos	2012	890,4
Ambos sexos	De 55 a 59 años	Inactivos	2011	916,3
Ambos sexos	De 55 a 59 años	Inactivos	2010	939,6
Ambos sexos	De 55 a 59 años	Inactivos	2009	952,9
Ambos sexos	De 55 a 59 años	Inactivos	2008	992,1
Ambos sexos	De 55 a 59 años	Inactivos	2007	1.037,4
Ambos sexos	De 55 a 59 años	Inactivos	2006	1.045,5
Ambos sexos	De 60 a 64 años	Total	2024	3.262,9
Ambos sexos	De 60 a 64 años	Total	2023	3.180,2
Ambos sexos	De 60 a 64 años	Total	2022	3.107,2
Ambos sexos	De 60 a 64 años	Total	2021	3.031,5
Ambos sexos	De 60 a 64 años	Total	2020	2.952,6
Ambos sexos	De 60 a 64 años	Total	2019	2.849,5
Ambos sexos	De 60 a 64 años	Total	2018	2.746,5
Ambos sexos	De 60 a 64 años	Total	2017	2.661,7
Ambos sexos	De 60 a 64 años	Total	2016	2.588,8
Ambos sexos	De 60 a 64 años	Total	2015	2.522,2
Ambos sexos	De 60 a 64 años	Total	2014	2.486,7
Ambos sexos	De 60 a 64 años	Total	2013	2.482,8
Ambos sexos	De 60 a 64 años	Total	2012	2.471,2
Ambos sexos	De 60 a 64 años	Total	2011	2.438,6
Ambos sexos	De 60 a 64 años	Total	2010	2.427,6
Ambos sexos	De 60 a 64 años	Total	2009	2.412,9
Ambos sexos	De 60 a 64 años	Total	2008	2.361,4
Ambos sexos	De 60 a 64 años	Total	2007	2.282,1
Ambos sexos	De 60 a 64 años	Total	2006	2.187,8
Ambos sexos	De 60 a 64 años	Activos	2024	1.871,2
Ambos sexos	De 60 a 64 años	Activos	2023	1.780,7
Ambos sexos	De 60 a 64 años	Activos	2022	1.675,7
Ambos sexos	De 60 a 64 años	Activos	2021	1.578,3
Ambos sexos	De 60 a 64 años	Activos	2020	1.453,1
Ambos sexos	De 60 a 64 años	Activos	2019	1.344,1
Ambos sexos	De 60 a 64 años	Activos	2018	1.246,2
Ambos sexos	De 60 a 64 años	Activos	2017	1.188,8
Ambos sexos	De 60 a 64 años	Activos	2016	1.135,3
Ambos sexos	De 60 a 64 años	Activos	2015	1.067,1
Ambos sexos	De 60 a 64 años	Activos	2014	988,3
Ambos sexos	De 60 a 64 años	Activos	2013	936,5
Ambos sexos	De 60 a 64 años	Activos	2012	936
Ambos sexos	De 60 a 64 años	Activos	2011	922
Ambos sexos	De 60 a 64 años	Activos	2010	890,2
Ambos sexos	De 60 a 64 años	Activos	2009	881,9
Ambos sexos	De 60 a 64 años	Activos	2008	857,4
Ambos sexos	De 60 a 64 años	Activos	2007	796
Ambos sexos	De 60 a 64 años	Activos	2006	758,9
Ambos sexos	De 60 a 64 años	Ocupados	2024	1.661,7
Ambos sexos	De 60 a 64 años	Ocupados	2023	1.575,8
Ambos sexos	De 60 a 64 años	Ocupados	2022	1.466,7
Ambos sexos	De 60 a 64 años	Ocupados	2021	1.368,7
Ambos sexos	De 60 a 64 años	Ocupados	2020	1.271,3
Ambos sexos	De 60 a 64 años	Ocupados	2019	1.174,3
Ambos sexos	De 60 a 64 años	Ocupados	2018	1.075,4
Ambos sexos	De 60 a 64 años	Ocupados	2017	1.015
Ambos sexos	De 60 a 64 años	Ocupados	2016	952,9
Ambos sexos	De 60 a 64 años	Ocupados	2015	889,4
Ambos sexos	De 60 a 64 años	Ocupados	2014	820,9
Ambos sexos	De 60 a 64 años	Ocupados	2013	761
Ambos sexos	De 60 a 64 años	Ocupados	2012	784,5
Ambos sexos	De 60 a 64 años	Ocupados	2011	799
Ambos sexos	De 60 a 64 años	Ocupados	2010	778
Ambos sexos	De 60 a 64 años	Ocupados	2009	785,5
Ambos sexos	De 60 a 64 años	Ocupados	2008	798,8
Ambos sexos	De 60 a 64 años	Ocupados	2007	751,7
Ambos sexos	De 60 a 64 años	Ocupados	2006	721,4
Ambos sexos	De 60 a 64 años	Parados	2024	209,5
Ambos sexos	De 60 a 64 años	Parados	2023	204,9
Ambos sexos	De 60 a 64 años	Parados	2022	209
Ambos sexos	De 60 a 64 años	Parados	2021	209,6
Ambos sexos	De 60 a 64 años	Parados	2020	181,8
Ambos sexos	De 60 a 64 años	Parados	2019	169,8
Ambos sexos	De 60 a 64 años	Parados	2018	170,8
Ambos sexos	De 60 a 64 años	Parados	2017	173,9
Ambos sexos	De 60 a 64 años	Parados	2016	182,4
Ambos sexos	De 60 a 64 años	Parados	2015	177,6
Ambos sexos	De 60 a 64 años	Parados	2014	167,4
Ambos sexos	De 60 a 64 años	Parados	2013	175,5
Ambos sexos	De 60 a 64 años	Parados	2012	151,5
Ambos sexos	De 60 a 64 años	Parados	2011	123
Ambos sexos	De 60 a 64 años	Parados	2010	112,3
Ambos sexos	De 60 a 64 años	Parados	2009	96,5
Ambos sexos	De 60 a 64 años	Parados	2008	58,6
Ambos sexos	De 60 a 64 años	Parados	2007	44,3
Ambos sexos	De 60 a 64 años	Parados	2006	37,4
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2024	2,3
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2023	2,7
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2022	1,5
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2021	3,8
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2020	2,8
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2019	1,8
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2018	2,1
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2017	1,7
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2016	2,6
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2015	2,1
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2014	3,3
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2013	2,4
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2012	1,5
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2011	1,6
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2010	2,2
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2009	1,3
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2008	0,9
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2007	1,2
Ambos sexos	De 60 a 64 años	Parados que buscan primer empleo	2006	0,5
Ambos sexos	De 60 a 64 años	Inactivos	2024	1.391,6
Ambos sexos	De 60 a 64 años	Inactivos	2023	1.399,5
Ambos sexos	De 60 a 64 años	Inactivos	2022	1.431,4
Ambos sexos	De 60 a 64 años	Inactivos	2021	1.453,2
Ambos sexos	De 60 a 64 años	Inactivos	2020	1.499,5
Ambos sexos	De 60 a 64 años	Inactivos	2019	1.505,4
Ambos sexos	De 60 a 64 años	Inactivos	2018	1.500,3
Ambos sexos	De 60 a 64 años	Inactivos	2017	1.472,9
Ambos sexos	De 60 a 64 años	Inactivos	2016	1.453,5
Ambos sexos	De 60 a 64 años	Inactivos	2015	1.455,1
Ambos sexos	De 60 a 64 años	Inactivos	2014	1.498,4
Ambos sexos	De 60 a 64 años	Inactivos	2013	1.546,3
Ambos sexos	De 60 a 64 años	Inactivos	2012	1.535,2
Ambos sexos	De 60 a 64 años	Inactivos	2011	1.516,6
Ambos sexos	De 60 a 64 años	Inactivos	2010	1.537,4
Ambos sexos	De 60 a 64 años	Inactivos	2009	1.531
Ambos sexos	De 60 a 64 años	Inactivos	2008	1.504,1
Ambos sexos	De 60 a 64 años	Inactivos	2007	1.486,1
Ambos sexos	De 60 a 64 años	Inactivos	2006	1.428,9
Ambos sexos	De 65 a 69 años	Total	2024	2.800,8
Ambos sexos	De 65 a 69 años	Total	2023	2.736,6
Ambos sexos	De 65 a 69 años	Total	2022	2.634,7
Ambos sexos	De 65 a 69 años	Total	2021	2.557,9
Ambos sexos	De 65 a 69 años	Total	2020	2.528,1
Ambos sexos	De 65 a 69 años	Total	2019	2.431,9
Ambos sexos	De 65 a 69 años	Total	2018	2.376,1
Ambos sexos	De 65 a 69 años	Total	2017	2.387,8
Ambos sexos	De 65 a 69 años	Total	2016	2.347
Ambos sexos	De 65 a 69 años	Total	2015	2.339,4
Ambos sexos	De 65 a 69 años	Total	2014	2.356,7
Ambos sexos	De 65 a 69 años	Total	2013	2.270,4
Ambos sexos	De 65 a 69 años	Total	2012	2.209,4
Ambos sexos	De 65 a 69 años	Total	2011	2.142,1
Ambos sexos	De 65 a 69 años	Total	2010	2.069,9
Ambos sexos	De 65 a 69 años	Total	2009	1.998,3
Ambos sexos	De 65 a 69 años	Total	2008	1.864,8
Ambos sexos	De 65 a 69 años	Total	2007	1.789,4
Ambos sexos	De 65 a 69 años	Total	2006	1.875,7
Ambos sexos	De 65 a 69 años	Activos	2024	322,7
Ambos sexos	De 65 a 69 años	Activos	2023	294,9
Ambos sexos	De 65 a 69 años	Activos	2022	267,9
Ambos sexos	De 65 a 69 años	Activos	2021	246,6
Ambos sexos	De 65 a 69 años	Activos	2020	205,8
Ambos sexos	De 65 a 69 años	Activos	2019	168,7
Ambos sexos	De 65 a 69 años	Activos	2018	153
Ambos sexos	De 65 a 69 años	Activos	2017	141,5
Ambos sexos	De 65 a 69 años	Activos	2016	129,9
Ambos sexos	De 65 a 69 años	Activos	2015	121,4
Ambos sexos	De 65 a 69 años	Activos	2014	108,4
Ambos sexos	De 65 a 69 años	Activos	2013	113,5
Ambos sexos	De 65 a 69 años	Activos	2012	121
Ambos sexos	De 65 a 69 años	Activos	2011	111,1
Ambos sexos	De 65 a 69 años	Activos	2010	113,2
Ambos sexos	De 65 a 69 años	Activos	2009	114,7
Ambos sexos	De 65 a 69 años	Activos	2008	115,4
Ambos sexos	De 65 a 69 años	Activos	2007	97,5
Ambos sexos	De 65 a 69 años	Activos	2006	100,1
Ambos sexos	De 65 a 69 años	Ocupados	2024	299,1
Ambos sexos	De 65 a 69 años	Ocupados	2023	273,2
Ambos sexos	De 65 a 69 años	Ocupados	2022	250,9
Ambos sexos	De 65 a 69 años	Ocupados	2021	230,9
Ambos sexos	De 65 a 69 años	Ocupados	2020	192,7
Ambos sexos	De 65 a 69 años	Ocupados	2019	156,9
Ambos sexos	De 65 a 69 años	Ocupados	2018	144,3
Ambos sexos	De 65 a 69 años	Ocupados	2017	134,7
Ambos sexos	De 65 a 69 años	Ocupados	2016	123,8
Ambos sexos	De 65 a 69 años	Ocupados	2015	115,6
Ambos sexos	De 65 a 69 años	Ocupados	2014	101,8
Ambos sexos	De 65 a 69 años	Ocupados	2013	104,6
Ambos sexos	De 65 a 69 años	Ocupados	2012	115
Ambos sexos	De 65 a 69 años	Ocupados	2011	108,9
Ambos sexos	De 65 a 69 años	Ocupados	2010	109,7
Ambos sexos	De 65 a 69 años	Ocupados	2009	110,6
Ambos sexos	De 65 a 69 años	Ocupados	2008	111,7
Ambos sexos	De 65 a 69 años	Ocupados	2007	95,7
Ambos sexos	De 65 a 69 años	Ocupados	2006	98
Ambos sexos	De 65 a 69 años	Parados	2024	23,7
Ambos sexos	De 65 a 69 años	Parados	2023	21,8
Ambos sexos	De 65 a 69 años	Parados	2022	17
Ambos sexos	De 65 a 69 años	Parados	2021	15,7
Ambos sexos	De 65 a 69 años	Parados	2020	13
Ambos sexos	De 65 a 69 años	Parados	2019	11,8
Ambos sexos	De 65 a 69 años	Parados	2018	8,7
Ambos sexos	De 65 a 69 años	Parados	2017	6,8
Ambos sexos	De 65 a 69 años	Parados	2016	6,1
Ambos sexos	De 65 a 69 años	Parados	2015	5,8
Ambos sexos	De 65 a 69 años	Parados	2014	6,6
Ambos sexos	De 65 a 69 años	Parados	2013	9
Ambos sexos	De 65 a 69 años	Parados	2012	6
Ambos sexos	De 65 a 69 años	Parados	2011	2,3
Ambos sexos	De 65 a 69 años	Parados	2010	3,5
Ambos sexos	De 65 a 69 años	Parados	2009	4
Ambos sexos	De 65 a 69 años	Parados	2008	3,7
Ambos sexos	De 65 a 69 años	Parados	2007	1,7
Ambos sexos	De 65 a 69 años	Parados	2006	2,1
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2024	0,5
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2023	0,2
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2022	0,3
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2021	0,4
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2020	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2019	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2018	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2017	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2016	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2015	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2014	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2013	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2012	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2011	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2010	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2009	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2008	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2007	..
Ambos sexos	De 65 a 69 años	Parados que buscan primer empleo	2006	..
Ambos sexos	De 65 a 69 años	Inactivos	2024	2.478,1
Ambos sexos	De 65 a 69 años	Inactivos	2023	2.441,6
Ambos sexos	De 65 a 69 años	Inactivos	2022	2.366,9
Ambos sexos	De 65 a 69 años	Inactivos	2021	2.311,3
Ambos sexos	De 65 a 69 años	Inactivos	2020	2.322,4
Ambos sexos	De 65 a 69 años	Inactivos	2019	2.263,2
Ambos sexos	De 65 a 69 años	Inactivos	2018	2.223
Ambos sexos	De 65 a 69 años	Inactivos	2017	2.246,3
Ambos sexos	De 65 a 69 años	Inactivos	2016	2.217
Ambos sexos	De 65 a 69 años	Inactivos	2015	2.218
Ambos sexos	De 65 a 69 años	Inactivos	2014	2.248,4
Ambos sexos	De 65 a 69 años	Inactivos	2013	2.156,9
Ambos sexos	De 65 a 69 años	Inactivos	2012	2.088,4
Ambos sexos	De 65 a 69 años	Inactivos	2011	2.031
Ambos sexos	De 65 a 69 años	Inactivos	2010	1.956,7
Ambos sexos	De 65 a 69 años	Inactivos	2009	1.883,6
Ambos sexos	De 65 a 69 años	Inactivos	2008	1.749,4
Ambos sexos	De 65 a 69 años	Inactivos	2007	1.692
Ambos sexos	De 65 a 69 años	Inactivos	2006	1.775,6
Ambos sexos	70 y más años	Total	2024	7.071
Ambos sexos	70 y más años	Total	2023	6.894,4
Ambos sexos	70 y más años	Total	2022	6.779,1
Ambos sexos	70 y más años	Total	2021	6.668,2
Ambos sexos	70 y más años	Total	2020	6.449,3
Ambos sexos	70 y más años	Total	2019	6.418,1
Ambos sexos	70 y más años	Total	2018	6.330,1
Ambos sexos	70 y más años	Total	2017	6.215,9
Ambos sexos	70 y más años	Total	2016	6.120,2
Ambos sexos	70 y más años	Total	2015	5.983,7
Ambos sexos	70 y más años	Total	2014	5.846,5
Ambos sexos	70 y más años	Total	2013	5.770,7
Ambos sexos	70 y más años	Total	2012	5.681,1
Ambos sexos	70 y más años	Total	2011	5.628,5
Ambos sexos	70 y más años	Total	2010	5.558,4
Ambos sexos	70 y más años	Total	2009	5.481,3
Ambos sexos	70 y más años	Total	2008	5.479,6
Ambos sexos	70 y más años	Total	2007	5.442,6
Ambos sexos	70 y más años	Total	2006	5.278,5
Ambos sexos	70 y más años	Activos	2024	56,4
Ambos sexos	70 y más años	Activos	2023	59,5
Ambos sexos	70 y más años	Activos	2022	64
Ambos sexos	70 y más años	Activos	2021	57,5
Ambos sexos	70 y más años	Activos	2020	52,9
Ambos sexos	70 y más años	Activos	2019	55
Ambos sexos	70 y más años	Activos	2018	47,3
Ambos sexos	70 y más años	Activos	2017	42,2
Ambos sexos	70 y más años	Activos	2016	36,3
Ambos sexos	70 y más años	Activos	2015	33,5
Ambos sexos	70 y más años	Activos	2014	32,6
Ambos sexos	70 y más años	Activos	2013	33,2
Ambos sexos	70 y más años	Activos	2012	41,3
Ambos sexos	70 y más años	Activos	2011	42,5
Ambos sexos	70 y más años	Activos	2010	41,5
Ambos sexos	70 y más años	Activos	2009	39
Ambos sexos	70 y más años	Activos	2008	41,7
Ambos sexos	70 y más años	Activos	2007	47,7
Ambos sexos	70 y más años	Activos	2006	49,2
Ambos sexos	70 y más años	Ocupados	2024	54,8
Ambos sexos	70 y más años	Ocupados	2023	57,6
Ambos sexos	70 y más años	Ocupados	2022	61,9
Ambos sexos	70 y más años	Ocupados	2021	56,4
Ambos sexos	70 y más años	Ocupados	2020	52,1
Ambos sexos	70 y más años	Ocupados	2019	54,5
Ambos sexos	70 y más años	Ocupados	2018	47
Ambos sexos	70 y más años	Ocupados	2017	41,5
Ambos sexos	70 y más años	Ocupados	2016	35
Ambos sexos	70 y más años	Ocupados	2015	33
Ambos sexos	70 y más años	Ocupados	2014	31,9
Ambos sexos	70 y más años	Ocupados	2013	32,9
Ambos sexos	70 y más años	Ocupados	2012	40,8
Ambos sexos	70 y más años	Ocupados	2011	41,6
Ambos sexos	70 y más años	Ocupados	2010	41,1
Ambos sexos	70 y más años	Ocupados	2009	38,8
Ambos sexos	70 y más años	Ocupados	2008	41,5
Ambos sexos	70 y más años	Ocupados	2007	47,4
Ambos sexos	70 y más años	Ocupados	2006	48,8
Ambos sexos	70 y más años	Parados	2024	1,7
Ambos sexos	70 y más años	Parados	2023	1,9
Ambos sexos	70 y más años	Parados	2022	2,1
Ambos sexos	70 y más años	Parados	2021	1,1
Ambos sexos	70 y más años	Parados	2020	0,8
Ambos sexos	70 y más años	Parados	2019	0,4
Ambos sexos	70 y más años	Parados	2018	0,2
Ambos sexos	70 y más años	Parados	2017	0,7
Ambos sexos	70 y más años	Parados	2016	1,2
Ambos sexos	70 y más años	Parados	2015	0,5
Ambos sexos	70 y más años	Parados	2014	0,7
Ambos sexos	70 y más años	Parados	2013	0,4
Ambos sexos	70 y más años	Parados	2012	0,5
Ambos sexos	70 y más años	Parados	2011	0,9
Ambos sexos	70 y más años	Parados	2010	0,4
Ambos sexos	70 y más años	Parados	2009	0,2
Ambos sexos	70 y más años	Parados	2008	0,2
Ambos sexos	70 y más años	Parados	2007	0,3
Ambos sexos	70 y más años	Parados	2006	0,4
Ambos sexos	70 y más años	Parados que buscan primer empleo	2024	0,3
Ambos sexos	70 y más años	Parados que buscan primer empleo	2023	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2022	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2021	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2020	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2019	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2018	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2017	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2016	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2015	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2014	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2013	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2012	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2011	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2010	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2009	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2008	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2007	..
Ambos sexos	70 y más años	Parados que buscan primer empleo	2006	..
Ambos sexos	70 y más años	Inactivos	2024	7.014,6
Ambos sexos	70 y más años	Inactivos	2023	6.834,9
Ambos sexos	70 y más años	Inactivos	2022	6.715
Ambos sexos	70 y más años	Inactivos	2021	6.610,8
Ambos sexos	70 y más años	Inactivos	2020	6.396,4
Ambos sexos	70 y más años	Inactivos	2019	6.363,1
Ambos sexos	70 y más años	Inactivos	2018	6.282,8
Ambos sexos	70 y más años	Inactivos	2017	6.173,7
Ambos sexos	70 y más años	Inactivos	2016	6.083,9
Ambos sexos	70 y más años	Inactivos	2015	5.950,2
Ambos sexos	70 y más años	Inactivos	2014	5.813,8
Ambos sexos	70 y más años	Inactivos	2013	5.737,5
